Nome,Sobrenome,Data de Nascimento,Cidade de Nascimento,Nome do Pai,Nome da Mãe
玉梅,Harrison,1963-02-16,Ravensburg,Juan Crispi,燕 Zimmer
鑫,Martinez,1965-06-08,Wittenberg,Ciro da Luz,丹丹 Souza
João Miguel,Black,1979-07-12,Dresden,Adam da Mota,Hermine Davis
婷婷,Conradi,1947-12-12,柳州,Joseph Zampa,Charlotte 焦
Dominique,Rossi,1980-05-31,Miesbach,Thiago George,Hildegart Fischetti
Niccolò,Wood,1968-03-16,Crailsheim,Horst-Peter Abatantuono,Nelli da Mata
Candace,Scamarcio,2000-12-20,Senftenberg,Joshua 鲍,Gelsomina Palladio
Thomas,Johnson,1954-02-02,北京,Cauã 洪,Tracy 桂
Luiz Otávio,李,1956-06-13,Mallersdorf,Thiago Costela,Silvia 易
Gianfranco,Kreusel,1993-03-28,西安,Ingo 李,Donna Warner
秀兰,Costa,2004-06-26,Lobenstein,Sören Steckel,Christina Säuberlich
Randolf,牛,2000-09-16,佛山,Gioachino 何,敏 李
Richard,Ladeck,1982-05-10,Dachau,Ottokar Nunes,Kimberly Miller
Laís,Lowe,1955-05-24,辽阳,旭 Hughes,Laura 武
Mario,Petrassi,1943-08-12,沈阳,Anthony Ribeiro,Angelica Whitehead
Cassandra,余,1981-03-27,上海,Marc Davis,Rebecca Rodriguez
萍,张,2000-10-20,长春,Charles Allen,Tracy 李
Friedhold,Richmond,1966-07-14,辛集,Klaus-D. Adams,Megan Wilkins
Joana,夏,1984-08-05,澳门,Benvenuto Gross,冬梅 Ernst
Kimberly,Sermonti,1969-01-02,北镇,Joshua Garcia,Teresa 刘
璐,Pignatti,1969-10-24,通辽,Gioachino Oliveira,Wibke Maggioli
Alice,Weihmann,1960-06-08,Malchin,Vladimir Sontag,Sandra Joseph
Shane,刘,1948-04-02,Bad Freienwalde,Klaus Peter Morellato,Carrie Joyce
Luchino,Gomes,1980-02-02,昆明,Cauã Rezende,Agatha Zorbach
Paolo,余,1962-09-24,Sebnitz,红霞 Marshall,Emanuella Seifert
Edward,Forbes,1992-04-17,石家庄,Renato Röhricht,Shannon Tlustek
兵,Tencalla,1975-12-03,Miesbach,João Pedro Santos,Maria Zuniga
佳,Carr,1998-12-08,Fulda,Damon Tosi,Jodi 李
Grace,陈,1982-12-05,郑州,Felipe Robinson,Susan Davis
Lavínia,Varano,1959-10-19,Soltau,Claus Hesse,Francesca Bottaro
Brittany,Cavalcanti,1997-07-03,杭州,Giampaolo Miller,Linda Mude
Natasha,Putz,1952-08-16,Wertingen,Caio Stey,柳 Lopes
Ole,任,1944-05-01,Altötting,Michael Carroll,Elizabeth 丁
Hildegart,Estrada,1998-10-04,Klötze,Alexej 李,淑华 Hermann
Monique,Fritz,1961-06-08,Burg,Rafael Morris,Mirella Foster
Valerio,Grein Groth,1998-11-29,太原,Luis Albers,Hülya Brown
